Designator,Mid X,Mid Y,Rotation,Layer
J1,197.7375,-109.0,270.0,top
K00,73.0,-61.25,180.0,top
K01,93.0,-60.55,0.0,top
K02,111.0,-57.65,0.0,top
K03,129.0,-52.65,0.0,top
K04,147.0,-57.65,0.0,top
K05,165.0,-59.65,0.0,top
K10,73.0,-78.25,180.0,top
K11,93.0,-77.55,0.0,top
K12,111.0,-74.65,0.0,top
K13,129.0,-69.65,0.0,top
K14,147.0,-74.65,0.0,top
K15,165.0,-76.65,0.0,top
K20,73.0,-95.25,180.0,top
K21,93.0,-94.55,0.0,top
K22,111.0,-91.65,0.0,top
K23,129.0,-86.65,0.0,top
K24,147.0,-91.65,0.0,top
K25,165.0,-93.65,0.0,top
K30,142.0,-112.65,0.0,top
K31,160.2,-114.1,0.0,top
K32,179.870508,-115.492531,335.0,top
R1,192.4304,-60.4012,180.0,bottom
R2,192.4304,-64.1096,0.0,bottom
U2,190.7032,-76.708,0.0,top
