Designator,Mid X,Mid Y,Rotation,Layer
J1,71.5025,-109.0,90.0,top
K00,196.24,-60.5499,0.0,top
K01,178.24,-60.5499,0.0,top
K02,160.24,-57.65,0.0,top
K03,142.24,-52.65,0.0,top
K04,124.24,-57.65,0.0,top
K05,106.24,-59.65,0.0,top
K10,196.24,-77.5499,0.0,top
K11,178.24,-77.5499,0.0,top
K12,160.24,-74.65,0.0,top
K13,142.24,-69.65,0.0,top
K14,124.24,-74.65,0.0,top
K15,106.24,-76.65,0.0,top
K20,196.24,-94.5499,0.0,top
K21,178.24,-94.5499,0.0,top
K22,160.24,-91.65,0.0,top
K23,142.24,-86.65,0.0,top
K24,124.24,-91.65,0.0,top
K25,106.24,-93.65,0.0,top
K30,129.24,-112.65,0.0,top
K31,111.04,-114.1,0.0,top
K32,89.755307,-115.4934,25.0,top
R1,76.8096,-60.4012,180.0,bottom
R2,76.8096,-64.1096,0.0,bottom
U2,78.5368,-76.708,0.0,top
